Z,Atom,Sr,Sk,S,Smax,Omega,O
1,H,4.14473,2.42186,6.56659,7.9054,0.21113,120.267
2,He,2.69851,3.91342,6.61193,7.0493,0.0624,100.361
3,Li,3.07144,3.99682,7.69826,10.3578,0.25677,9.15713
4,Be,3.62386,4.1919,7.8145,10.395,0.24829,8.45434
5,B,3.40545,4.7059,8.11135,10.3738,0.2181,15.9653
6,C,3.1062,5.15658,8.2626,10.2624,0.19492,25.7121
7,N,2.80169,5.54934,8.3513,10.152,0.1774,37.432
8,O,2.5554,5.86737,8.41791,10.1113,0.16747,48.4834
9,F,2.29883,6.16333,8.46215,10.0533,0.15827,61.145
10,Ne,2.05514,6.4377,8.49221,9.9908,0.14999,75.2447
11,Na,2.339,6.4831,8.81319,11.6463,0.24326,15.869
12,Mg,2.3954,6.5144,8.9138,11.8296,0.24677,10.1948
13,Al,2.44569,6.61928,9.06497,12.0615,0.24843,12.7659
14,Si,2.41914,6.7338,9.15294,12.05,0.2442,15.636
15,P,2.3593,6.84865,9.20767,11.9954,0.2324,18.6249
16,S,2.29932,6.94939,9.24871,11.9769,0.22779,20.8038
17,Cl,2.22174,7.05243,9.27418,11.9315,0.22716,23.3683
18,Ar,2.13383,7.15541,9.28924,11.8758,0.2178,26.21
19,K,2.30177,7.17242,9.47419,12.922,0.26682,10.3754
20,Ca,2.3639,7.1825,9.54334,13.0994,0.27147,6.66998
21,Sc,2.29814,7.30329,9.60143,13.0334,0.26332,8.129
22,Ti,2.21855,7.42693,9.64548,12.9721,0.25644,9.48793
23,V,2.13512,7.54717,9.68229,12.916,0.2536,10.9154
24,Cr,1.95589,7.75135,9.70724,12.5913,0.2295,27.0296
25,Mn,1.96257,7.77688,9.73945,12.8162,0.247,13.9422
26,Fe,1.88213,7.88265,9.76478,12.7697,0.23532,15.785
27,Co,1.81,7.98612,9.78613,12.7264,0.2314,17.6521
28,Ni,1.71826,7.99294,9.7112,12.7198,0.23653,18.8367
29,Cu,1.56325,8.2576,9.8141,12.4646,0.21265,41.4751
30,Zn,1.55625,8.27867,9.83493,12.6106,0.2211,23.743
31,Ga,1.57444,8.32388,9.89832,12.8676,0.2376,23.5278
32,Ge,1.56746,8.3715,9.93896,12.9098,0.2312,24.5325
33,As,1.5498,8.41828,9.9688,12.9082,0.22777,25.6828
34,Se,1.53425,8.45851,9.99276,12.9298,0.22715,25.8122
35,Br,1.5164,8.49958,10.012,12.923,0.2254,26.445
36,Kr,1.48146,8.5492,10.0224,12.9026,0.22323,27.337
37,Rb,1.57626,8.5443,10.126,13.7376,0.26329,12.4597
38,Sr,1.62144,8.54228,10.1637,13.9159,0.26963,7.91895
39,Y,1.61438,8.5946,10.2048,13.8772,0.26463,9.57134
40,Zr,1.59462,8.6454,10.2352,13.8304,0.25995,10.941
41,Nb,1.52486,8.73236,10.2572,13.578,0.24457,23.5982
42,Mo,1.49117,8.78233,10.2735,13.5247,0.2439,25.8955
43,Tc,1.50762,8.7974,10.2984,13.7087,0.24877,14.7373
44,Ru,1.4035,8.87561,10.3061,13.4876,0.23588,28.9712
45,Rh,1.39635,8.9226,10.3184,13.467,0.2338,30.4667
46,Pd,1.30482,8.9898,10.2939,13.157,0.21761,47.7242
47,Ag,1.32346,9.01391,10.3374,13.4264,0.15816,33.3999
48,Cd,1.33132,9.02613,10.3574,135464.0,0.23541,21.5174
49,In,1.35191,9.04892,10.48,13.7432,0.2432,20.8916
50,Sn,1.3571,9.07295,10.43,13.7921,0.24377,21.0072
51,Sb,1.35483,9.09683,10.4517,13.8039,0.24285,21.2488
52,Te,1.35345,9.11719,10.476,13.8313,0.24297,20.804
53,I,1.34658,9.13832,10.4849,13.8349,0.24214,20.7427
54,Xe,1.33582,9.1622,10.496,13.8264,0.2487,20.8938
